sessionId,timestamp,username,label,combinedScore,ambientScore,captchaScore,deviceOs,deviceBrowser,screenResolution,devicePixelRatio,networkLatencyMs,straightnessMean,straightnessStd,dirEntropyMean,dirEntropyStd,velCvMean,velCvStd,velStdMean,accelStdMean,preDwellMean,preDwellStd,reactionMsMean,overshootMean,idleBurstMean,trajPointsMean,arcLengthMean,flags
"fbba3c8b-d570-4a74-acab-8cce2bfe0315","2026-04-14T03:55:13.750Z","Esko","human",20,0,30,"Windows","Edge","2560x1600",1,565,0.82207,0.1663,1.35869,0.61789,0.66627,0.05867,0.38452,0.31014,309.33333,19.48219,32,0,0,81.33333,252.2802,"insufficient_data;fast_reaction_time;no_target_overshoot"
"78f6649d-5a95-4ae0-ad2f-5fc048c84d30","2026-04-14T03:55:25.258Z","Esko","human",13,0,20,"Windows","Edge","2560x1600",1,691,0.79688,0.13423,1.7393,0.54299,0.66304,0.10539,0.26232,0.23011,463.66667,185.73159,114,0.66667,0,59.33333,148.79699,"insufficient_data;fast_reaction_time"
"0c27fe6b-a1b5-4255-8d2f-a817784c3b04","2026-04-14T03:56:39.837Z","Esko","human",26,0,40,"Windows","Edge","2560x1600",1,1228,0.75962,0.13617,1.47332,0.37932,1.53015,1.31152,0.97181,1.32938,295.33333,67.15322,50.66667,0,0,71.33333,148.31443,"insufficient_data;fast_reaction_time;no_target_overshoot"
"85520b69-2593-43c6-b792-da7c7f260e15","2026-04-14T03:58:58.797Z","Esko","rat",10,0,15,"Windows","Edge","2560x1600",1,539,0.68828,0.17279,1.89401,0.42135,2.01361,0.34569,1.19378,1.61019,427.66667,72.02469,187.66667,0,0,44,205.30271,"insufficient_data;no_target_overshoot"
"2c5832fb-0c23-401c-9a92-b8da6ddd7883","2026-04-14T03:59:16.318Z","Esko","rat",10,0,15,"Windows","Edge","2560x1600",1,521,0.6695,0.35748,1.65167,0.4193,2.25303,1.33087,5.33029,7.66907,284.33333,181.52012,584,0,0,24,144.28434,"insufficient_data;no_target_overshoot"
"cd171bb8-3c6a-46c6-b064-3d2773e34adf","2026-04-14T03:59:31.665Z","Esko","rat",10,0,15,"Windows","Edge","2560x1600",1,528,0.63348,0.18087,1.73573,0.12611,2.19881,1.44712,3.69522,5.43549,453,50.52392,314.66667,0,0,34.33333,219.02769,"insufficient_data;no_target_overshoot"
"493776d6-48ca-4645-b8d8-8a8650b0ca27","2026-04-14T03:59:49.961Z","Esko","rat",3,0,5,"Windows","Edge","2560x1600",1,681,0.75197,0.29234,1.27016,0.71376,1.54322,0.27473,0.86297,1.21982,691.66667,395.6508,102,0.66667,0,38,212.12103,"insufficient_data;fast_reaction_time"
"d98a9cac-972f-4afd-8faf-fc41c7f94232","2026-04-14T04:00:07.768Z","Esko","rat",13,0,20,"Windows","Edge","2560x1600",1,565,0.72802,0.14761,1.98788,0.45168,1.39821,0.09001,0.61094,0.78076,728,162.98671,125.66667,0,0,42,202.82375,"insufficient_data;fast_reaction_time;no_target_overshoot"
"dbaed66b-9a4b-41ed-9dec-584d2bab2980","2026-04-14T04:00:28.044Z","Esko","rat",16,0,25,"Windows","Edge","2560x1600",1,507,0.72479,0.16541,1.84212,0.66436,1.35395,0.04276,0.78651,1.02844,503.33333,23.45682,32,0,0,40.33333,219.74515,"insufficient_data;fast_reaction_time;no_target_overshoot"
"c1b94357-b42e-40c1-b4d4-2674a6e5a7c7","2026-04-14T04:00:42.467Z","Esko","rat",0,0,0,"Windows","Edge","2560x1600",1,525,0.53187,0.35948,1.95038,0.53462,1.82912,0.6342,1.55759,2.1586,450.33333,33.99346,152.33333,0.33333,0,48,327.74833,"insufficient_data"
"024d1352-01ab-4feb-bfe8-05a011dcbd9a","2026-04-14T04:01:06.192Z","Esko","rat",10,0,15,"Windows","Edge","2560x1600",1,505,0.53073,0.25858,2.11916,0.49954,1.6175,0.57354,1.21283,1.58087,450,27.28858,386.66667,0,0,50,294.49979,"insufficient_data;no_target_overshoot"
"fca2ca0f-94df-4795-85e4-2228bdc8c439","2026-04-14T04:01:21.903Z","Esko","rat",13,0,20,"Windows","Edge","2560x1600",1,505,0.31509,0.1011,2.31196,0.42082,0.86323,0.11943,0.36474,0.48186,379,46.48297,208.33333,0,0,43.33333,262.44675,"insufficient_data;no_target_overshoot"
"44c97b28-6f08-4768-9947-faee843c4824","2026-04-14T04:01:42.959Z","Esko","rat",13,0,20,"Windows","Edge","2560x1600",1,563,0.4958,0.37647,1.6405,0.53429,2.2088,1.68297,2.47546,3.43537,473.33333,26.54974,185,0,0,46.33333,209.22767,"insufficient_data;no_target_overshoot"
